id,material,length,n_segments,diameter,density,bend_stiffness,twist_bend_ratio,joint_damping,weld_dampratio,start_height
000,M1_very_soft,0.80,32,0.0025,1000,1.0e+06,0.38,1.0e-04,10.0,1.10
001,M1_very_soft,1.10,32,0.0025,1000,1.0e+06,0.38,1.0e-04,10.0,1.40
002,M1_very_soft,1.40,32,0.0025,1000,1.0e+06,0.38,1.0e-04,10.0,1.70
003,M1_very_soft,1.60,32,0.0025,1000,1.0e+06,0.38,1.0e-04,10.0,1.90
004,M1_very_soft,0.80,32,0.0050,1000,1.0e+06,0.38,1.0e-04,10.0,1.10
005,M1_very_soft,1.10,32,0.0050,1000,1.0e+06,0.38,1.0e-04,10.0,1.40
006,M1_very_soft,1.40,32,0.0050,1000,1.0e+06,0.38,1.0e-04,10.0,1.70
007,M1_very_soft,1.60,32,0.0050,1000,1.0e+06,0.38,1.0e-04,10.0,1.90
008,M1_very_soft,0.80,32,0.0075,1000,1.0e+06,0.38,1.0e-04,10.0,1.10
009,M1_very_soft,1.10,32,0.0075,1000,1.0e+06,0.38,1.0e-04,10.0,1.40
010,M1_very_soft,1.40,32,0.0075,1000,1.0e+06,0.38,1.0e-04,10.0,1.70
011,M1_very_soft,1.60,32,0.0075,1000,1.0e+06,0.38,1.0e-04,10.0,1.90
012,M1_very_soft,0.80,32,0.0100,1000,1.0e+06,0.38,1.0e-04,10.0,1.10
013,M1_very_soft,1.10,32,0.0100,1000,1.0e+06,0.38,1.0e-04,10.0,1.40
014,M1_very_soft,1.40,32,0.0100,1000,1.0e+06,0.38,1.0e-04,10.0,1.70
015,M1_very_soft,1.60,32,0.0100,1000,1.0e+06,0.38,1.0e-04,10.0,1.90
016,M2_soft,0.80,32,0.0025,2000,1.0e+07,0.38,5.0e-04,10.0,1.10
017,M2_soft,1.10,32,0.0025,2000,1.0e+07,0.38,5.0e-04,10.0,1.40
018,M2_soft,1.40,32,0.0025,2000,1.0e+07,0.38,5.0e-04,10.0,1.70
019,M2_soft,1.60,32,0.0025,2000,1.0e+07,0.38,5.0e-04,10.0,1.90
020,M2_soft,0.80,32,0.0050,2000,1.0e+07,0.38,5.0e-04,10.0,1.10
021,M2_soft,1.10,32,0.0050,2000,1.0e+07,0.38,5.0e-04,10.0,1.40
022,M2_soft,1.40,32,0.0050,2000,1.0e+07,0.38,5.0e-04,10.0,1.70
023,M2_soft,1.60,32,0.0050,2000,1.0e+07,0.38,5.0e-04,10.0,1.90
024,M2_soft,0.80,32,0.0075,2000,1.0e+07,0.38,5.0e-04,10.0,1.10
025,M2_soft,1.10,32,0.0075,2000,1.0e+07,0.38,5.0e-04,10.0,1.40
026,M2_soft,1.40,32,0.0075,2000,1.0e+07,0.38,5.0e-04,10.0,1.70
027,M2_soft,1.60,32,0.0075,2000,1.0e+07,0.38,5.0e-04,10.0,1.90
028,M2_soft,0.80,32,0.0100,2000,1.0e+07,0.38,5.0e-04,10.0,1.10
029,M2_soft,1.10,32,0.0100,2000,1.0e+07,0.38,5.0e-04,10.0,1.40
030,M2_soft,1.40,32,0.0100,2000,1.0e+07,0.38,5.0e-04,10.0,1.70
031,M2_soft,1.60,32,0.0100,2000,1.0e+07,0.38,5.0e-04,10.0,1.90
032,M3_medium,0.80,32,0.0025,4000,1.0e+08,0.38,5.0e-04,10.0,1.10
033,M3_medium,1.10,32,0.0025,4000,1.0e+08,0.38,5.0e-04,10.0,1.40
034,M3_medium,1.40,32,0.0025,4000,1.0e+08,0.38,5.0e-04,10.0,1.70
035,M3_medium,1.60,32,0.0025,4000,1.0e+08,0.38,5.0e-04,10.0,1.90
036,M3_medium,0.80,32,0.0050,4000,1.0e+08,0.38,5.0e-04,10.0,1.10
037,M3_medium,1.10,32,0.0050,4000,1.0e+08,0.38,5.0e-04,10.0,1.40
038,M3_medium,1.40,32,0.0050,4000,1.0e+08,0.38,5.0e-04,10.0,1.70
039,M3_medium,1.60,32,0.0050,4000,1.0e+08,0.38,5.0e-04,10.0,1.90
040,M4_stiff,0.80,32,0.0020,8000,5.0e+08,0.38,1.0e-02,10.0,1.10
041,M4_stiff,1.10,32,0.0020,8000,5.0e+08,0.38,1.0e-02,10.0,1.40
042,M4_stiff,1.40,32,0.0020,8000,5.0e+08,0.38,1.0e-02,10.0,1.70
043,M4_stiff,1.60,32,0.0020,8000,5.0e+08,0.38,1.0e-02,10.0,1.90
044,M5_very_stiff,1.40,32,0.0015,8000,1.0e+09,0.38,1.0e-02,10.0,1.70
045,M5_very_stiff,1.60,32,0.0015,8000,1.0e+09,0.38,1.0e-02,10.0,1.90
