table,block,arm,metric,mean,window_sd,seed_sd
1,local_on,A,rel_l2_h400,0.0325,0.0281,0.0058
1,local_on,A,link_length_mean_drift,0.0300,0.0159,0.0032
1,local_on,A,selfint_frame_fraction,0.171,0.231,0.009
1,local_on,B,rel_l2_h400,0.0320,0.0267,0.0042
1,local_on,B,link_length_mean_drift,0.0303,0.0135,0.0021
1,local_on,B,selfint_frame_fraction,0.174,0.229,0.032
1,local_on,C,rel_l2_h400,0.0316,0.0341,0.0057
1,local_on,C,link_length_mean_drift,0.0271,0.0124,0.0023
1,local_on,C,selfint_frame_fraction,0.167,0.227,0.030
1,local_on,D,rel_l2_h400,0.0302,0.0251,0.0067
1,local_on,D,link_length_mean_drift,0.0267,0.0109,0.0030
1,local_on,D,selfint_frame_fraction,0.168,0.229,0.012
1,local_on,F,rel_l2_h400,0.0297,0.0288,0.0035
1,local_on,F,link_length_mean_drift,0.0275,0.0129,0.0007
1,local_on,F,selfint_frame_fraction,0.165,0.229,0.012
1,local_off,A,rel_l2_h400,0.0399,0.0246,0.0002
1,local_off,A,link_length_mean_drift,0.1693,0.1891,0.0030
1,local_off,A,selfint_frame_fraction,0.216,0.258,0.006
1,local_off,B,rel_l2_h400,0.0382,0.0279,0.0007
1,local_off,B,link_length_mean_drift,0.1470,0.2232,0.0178
1,local_off,B,selfint_frame_fraction,0.208,0.262,0.020
1,local_off,C,rel_l2_h400,0.0339,0.0195,0.0008
1,local_off,C,link_length_mean_drift,0.0783,0.0382,0.0040
1,local_off,C,selfint_frame_fraction,0.174,0.241,0.004
1,local_off,D,rel_l2_h400,0.0352,0.0211,0.0016
1,local_off,D,link_length_mean_drift,0.0779,0.0455,0.0036
1,local_off,D,selfint_frame_fraction,0.172,0.242,0.016
1,local_off,F,rel_l2_h400,0.0343,0.0202,0.0002
1,local_off,F,link_length_mean_drift,0.0784,0.0409,0.0013
1,local_off,F,selfint_frame_fraction,0.161,0.234,0.006
1,baselines,chain_only,rel_l2_h400,0.0925,0.0838,0.0720
1,baselines,chain_only,link_length_mean_drift,0.0812,0.0589,0.0322
1,baselines,chain_only,selfint_frame_fraction,0.115,0.191,0.024
1,baselines,mlp_pernode,rel_l2_h400,0.0868,0.0785,0.0163
1,baselines,mlp_pernode,link_length_mean_drift,1.35,2.32,0.73
1,baselines,mlp_pernode,selfint_frame_fraction,0.435,0.256,0.010
1,baselines,lstm_global,rel_l2_h400,0.1070,0.0911,0.0397
1,baselines,lstm_global,link_length_mean_drift,0.2819,0.3124,0.0509
1,baselines,lstm_global,selfint_frame_fraction,0.082,0.150,0.031
2,local_on,A,rel_l2_floor_contact,0.0511,0.0536,0.0105
2,local_on,A,rel_l2_free_flight,0.0062,0.0095,0.0001
2,local_on,B,rel_l2_floor_contact,0.0510,0.0615,0.0080
2,local_on,B,rel_l2_free_flight,0.0062,0.0099,0.0005
2,local_on,C,rel_l2_floor_contact,0.0529,0.0871,0.0122
2,local_on,C,rel_l2_free_flight,0.0064,0.0131,0.0014
2,local_on,D,rel_l2_floor_contact,0.0484,0.0551,0.0135
2,local_on,D,rel_l2_free_flight,0.0058,0.0097,0.0011
2,local_on,F,rel_l2_floor_contact,0.0479,0.0643,0.0068
2,local_on,F,rel_l2_free_flight,0.0061,0.0127,0.0010
