table,block,arm,name,metric,mean,window_sd,seed_sd,source,n_windows
1,local_on,A,Unbiased,rel_l2_h400,0.0325,0.0281,0.0058,records,400|400|400
1,local_on,A,Unbiased,link_length_mean_drift,0.0300,0.0159,0.0032,records,400|400|400
1,local_on,A,Unbiased,selfint_frame_fraction,0.171,0.231,0.009,records,400|400|400
1,local_on,B,Euclidean,rel_l2_h400,0.0320,0.0267,0.0042,records,400|400|400
1,local_on,B,Euclidean,link_length_mean_drift,0.0303,0.0135,0.0021,records,400|400|400
1,local_on,B,Euclidean,selfint_frame_fraction,0.174,0.229,0.032,records,400|400|400
1,local_on,C,Chain,rel_l2_h400,0.0316,0.0341,0.0057,records,400|400|400
1,local_on,C,Chain,link_length_mean_drift,0.0271,0.0124,0.0023,records,400|400|400
1,local_on,C,Chain,selfint_frame_fraction,0.167,0.227,0.030,records,400|400|400
1,local_on,D,Mixed,rel_l2_h400,0.0302,0.0251,0.0067,records,400|400|400
1,local_on,D,Mixed,link_length_mean_drift,0.0267,0.0109,0.0030,records,400|400|400
1,local_on,D,Mixed,selfint_frame_fraction,0.168,0.229,0.012,records,400|400|400
1,local_on,F,Euclidean+Chain only,rel_l2_h400,0.0297,0.0288,0.0035,records,400|400|400
1,local_on,F,Euclidean+Chain only,link_length_mean_drift,0.0275,0.0129,0.0007,records,400|400|400
1,local_on,F,Euclidean+Chain only,selfint_frame_fraction,0.165,0.229,0.012,records,400|400|400
1,local_off,A,Unbiased,rel_l2_h400,0.0399,0.0246,0.0002,transcribed,
1,local_off,A,Unbiased,link_length_mean_drift,0.1693,0.1891,0.0030,transcribed,
1,local_off,A,Unbiased,selfint_frame_fraction,0.216,0.258,0.006,transcribed,
1,local_off,B,Euclidean,rel_l2_h400,0.0382,0.0279,0.0007,transcribed,
1,local_off,B,Euclidean,link_length_mean_drift,0.1470,0.2232,0.0178,transcribed,
1,local_off,B,Euclidean,selfint_frame_fraction,0.208,0.262,0.020,transcribed,
1,local_off,C,Chain,rel_l2_h400,0.0339,0.0195,0.0008,transcribed,
1,local_off,C,Chain,link_length_mean_drift,0.0783,0.0382,0.0040,transcribed,
1,local_off,C,Chain,selfint_frame_fraction,0.174,0.241,0.004,transcribed,
1,local_off,D,Mixed,rel_l2_h400,0.0352,0.0211,0.0016,transcribed,
1,local_off,D,Mixed,link_length_mean_drift,0.0779,0.0455,0.0036,transcribed,
1,local_off,D,Mixed,selfint_frame_fraction,0.172,0.242,0.016,transcribed,
1,local_off,F,Euclidean+Chain only,rel_l2_h400,0.0343,0.0202,0.0002,transcribed,
1,local_off,F,Euclidean+Chain only,link_length_mean_drift,0.0784,0.0409,0.0013,transcribed,
1,local_off,F,Euclidean+Chain only,selfint_frame_fraction,0.161,0.234,0.006,transcribed,
1,baselines,chain_only,chain only,rel_l2_h400,0.0925,0.0838,0.0720,transcribed,
1,baselines,chain_only,chain only,link_length_mean_drift,0.0812,0.0589,0.0322,transcribed,
1,baselines,chain_only,chain only,selfint_frame_fraction,0.115,0.191,0.024,transcribed,
1,baselines,mlp_pernode,MLP,rel_l2_h400,0.0868,0.0785,0.0163,transcribed,
1,baselines,mlp_pernode,MLP,link_length_mean_drift,1.35,2.32,0.73,transcribed,
1,baselines,mlp_pernode,MLP,selfint_frame_fraction,0.435,0.256,0.010,transcribed,
1,baselines,lstm_global,LSTM,rel_l2_h400,0.1070,0.0911,0.0397,transcribed,
1,baselines,lstm_global,LSTM,link_length_mean_drift,0.2819,0.3124,0.0509,transcribed,
1,baselines,lstm_global,LSTM,selfint_frame_fraction,0.082,0.150,0.031,transcribed,
